product_id,product_name,transport_method,cost_per_unit,fixed_cost,supplier_id
353746204,"Tabla Fresca Farmstand Cilantro Salsa, 32 Oz",Air,9.77,119.59,75
886189683,"Marketside Tzatziki Style Dip, 16 oz",Truck,1.44,68.75,76
886189683,"Marketside Tzatziki Style Dip, 16 oz",Train,2.07,88.73,77
886189683,"Marketside Tzatziki Style Dip, 16 oz",Air,8.57,135.86,78
182014505,"Price's Grade A Red And Green Chile Sour Cream Dip, 12 Oz.",Truck,1.42,164.09,79
182014505,"Price's Grade A Red And Green Chile Sour Cream Dip, 12 Oz.",Train,2.49,35.71,80
182014505,"Price's Grade A Red And Green Chile Sour Cream Dip, 12 Oz.",Air,7.12,59.2,81
918905668,"Marketside Sweet Heat Mango Peach Salsa, 16 Ounce",Truck,2.55,47.2,82
918905668,"Marketside Sweet Heat Mango Peach Salsa, 16 Ounce",Train,2.24,103.83,83
918905668,"Marketside Sweet Heat Mango Peach Salsa, 16 Ounce",Air,7.61,141.92,84
803856854,"Marketside Jalapeno Artichoke Dip, 16 oz",Truck,2.48,23.41,85
803856854,"Marketside Jalapeno Artichoke Dip, 16 oz",Train,1.97,159.16,86
803856854,"Marketside Jalapeno Artichoke Dip, 16 oz",Air,7.0,181.55,87
175922691,Julio's Mild Sauce 16oz,Truck,1.23,93.55,88
175922691,Julio's Mild Sauce 16oz,Train,2.37,57.03,89
175922691,Julio's Mild Sauce 16oz,Air,9.77,169.11,90
719820277,"Texas Pete Blazin Buffalo Chicken Dip, 12 oz.",Truck,1.55,162.13,91
719820277,"Texas Pete Blazin Buffalo Chicken Dip, 12 oz.",Train,2.4,68.8,92
719820277,"Texas Pete Blazin Buffalo Chicken Dip, 12 oz.",Air,8.0,69.48,93
45048083,"Giovanni Rana Homestyle Sauce Alfredo Premium Pasta Topping Jar (Family Size, 15oz)",Truck,1.5,102.28,94
45048083,"Giovanni Rana Homestyle Sauce Alfredo Premium Pasta Topping Jar (Family Size, 15oz)",Train,1.87,67.11,95
45048083,"Giovanni Rana Homestyle Sauce Alfredo Premium Pasta Topping Jar (Family Size, 15oz)",Air,4.54,113.02,96
763504859,"Marketside Gouda Bacon Green Chile Dip, 12 oz",Truck,1.93,111.52,97
763504859,"Marketside Gouda Bacon Green Chile Dip, 12 oz",Train,2.06,159.25,98
763504859,"Marketside Gouda Bacon Green Chile Dip, 12 oz",Air,8.66,87.53,99
585091565,"Freshness Guaranteed Chunky Avocado, 8 Oz (Fresh)",Truck,2.9,37.09,100
585091565,"Freshness Guaranteed Chunky Avocado, 8 Oz (Fresh)",Train,2.15,149.12,101
585091565,"Freshness Guaranteed Chunky Avocado, 8 Oz (Fresh)",Air,6.02,77.82,102
123008789,"Marketside Mild Queso Blanco Dip, 16 oz",Truck,2.17,75.57,103
123008789,"Marketside Mild Queso Blanco Dip, 16 oz",Train,2.32,81.38,104
123008789,"Marketside Mild Queso Blanco Dip, 16 oz",Air,7.16,151.55,105
135810005,"Freshness Guaranteed Spicy Guacamole Mini Cups, 2 Oz, 6 Count (Fresh)",Truck,1.41,74.62,106
135810005,"Freshness Guaranteed Spicy Guacamole Mini Cups, 2 Oz, 6 Count (Fresh)",Train,1.5,119.9,107
135810005,"Freshness Guaranteed Spicy Guacamole Mini Cups, 2 Oz, 6 Count (Fresh)",Air,4.13,68.82,108
10416257,"WHOLLY Guacamole Classic Mini Single Serve Cups, Mild, 2 Oz (6-Pack)",Truck,1.18,174.15,109
10416257,"WHOLLY Guacamole Classic Mini Single Serve Cups, Mild, 2 Oz (6-Pack)",Train,2.41,39.87,110
10416257,"WHOLLY Guacamole Classic Mini Single Serve Cups, Mild, 2 Oz (6-Pack)",Air,9.91,140.37,111
465407928,Rojo's Classic 5 Layer Dip 28oz,Truck,2.79,52.79,112
465407928,Rojo's Classic 5 Layer Dip 28oz,Train,1.79,149.21,113
465407928,Rojo's Classic 5 Layer Dip 28oz,Air,7.84,83.41,114
566601063,"Marketside Spinach Dip, 24 oz",Truck,1.15,44.1,115
566601063,"Marketside Spinach Dip, 24 oz",Train,1.22,182.77,116
566601063,"Marketside Spinach Dip, 24 oz",Air,7.95,167.76,117
778724908,"Marketside Smokehouse Burnt Ends Dip, 12 oz",Truck,1.58,45.02,118
778724908,"Marketside Smokehouse Burnt Ends Dip, 12 oz",Train,1.22,179.26,119
778724908,"Marketside Smokehouse Burnt Ends Dip, 12 oz",Air,8.95,100.01,120
763504859,"Marketside Gouda Bacon Green Chile Dip, 12 oz",Truck,2.3,117.26,121
763504859,"Marketside Gouda Bacon Green Chile Dip, 12 oz",Train,1.12,199.96,122
763504859,"Marketside Gouda Bacon Green Chile Dip, 12 oz",Air,7.29,98.12,123
585091565,"Freshness Guaranteed Chunky Avocado, 8 Oz (Fresh)",Truck,2.67,36.73,124
585091565,"Freshness Guaranteed Chunky Avocado, 8 Oz (Fresh)",Train,2.16,20.53,125
585091565,"Freshness Guaranteed Chunky Avocado, 8 Oz (Fresh)",Air,9.31,48.09,126
123008789,"Marketside Mild Queso Blanco Dip, 16 oz",Truck,2.09,121.61,127
123008789,"Marketside Mild Queso Blanco Dip, 16 oz",Train,1.99,170.81,128
123008789,"Marketside Mild Queso Blanco Dip, 16 oz",Air,7.46,100.44,129
135810005,"Freshness Guaranteed Spicy Guacamole Mini Cups, 2 Oz, 6 Count (Fresh)",Truck,1.8,142.05,130
135810005,"Freshness Guaranteed Spicy Guacamole Mini Cups, 2 Oz, 6 Count (Fresh)",Train,1.64,140.14,131
135810005,"Freshness Guaranteed Spicy Guacamole Mini Cups, 2 Oz, 6 Count (Fresh)",Air,9.15,77.0,132
10416257,"WHOLLY Guacamole Classic Mini Single Serve Cups, Mild, 2 Oz (6-Pack)",Truck,1.99,46.53,133
10416257,"WHOLLY Guacamole Classic Mini Single Serve Cups, Mild, 2 Oz (6-Pack)",Train,1.99,26.9,134
10416257,"WHOLLY Guacamole Classic Mini Single Serve Cups, Mild, 2 Oz (6-Pack)",Air,6.03,141.41,135
465407928,Rojo's Classic 5 Layer Dip 28oz,Truck,1.62,52.98,136
465407928,Rojo's Classic 5 Layer Dip 28oz,Train,1.81,170.58,137
465407928,Rojo's Classic 5 Layer Dip 28oz,Air,6.35,184.89,138
566601063,"Marketside Spinach Dip, 24 oz",Truck,1.73,28.32,139
566601063,"Marketside Spinach Dip, 24 oz",Train,2.23,141.43,140
566601063,"Marketside Spinach Dip, 24 oz",Air,6.91,112.33,141
246522234,"Texas Pete Southwestern Sausage & Cheese Dip, 12 oz.",Truck,1.4,60.36,142
246522234,"Texas Pete Southwestern Sausage & Cheese Dip, 12 oz.",Train,1.61,147.7,143
246522234,"Texas Pete Southwestern Sausage & Cheese Dip, 12 oz.",Air,9.91,25.44,144
163380487,Julio's Hot Sauce 16oz,Truck,1.62,162.87,145
163380487,Julio's Hot Sauce 16oz,Train,1.77,184.17,146
163380487,Julio's Hot Sauce 16oz,Air,5.14,175.47,147
162865584,Bobby Salazar's Medium Salsa 15 oz.,Truck,1.49,149.95,148
162865584,Bobby Salazar's Medium Salsa 15 oz.,Train,2.17,23.45,149
162865584,Bobby Salazar's Medium Salsa 15 oz.,Air,4.64,75.38,150
45794665,"WHOLLY GUACAMOLE Avocado Verde, 10 oz",Truck,1.08,133.06,151
45794665,"WHOLLY GUACAMOLE Avocado Verde, 10 oz",Train,1.18,108.16,152
45794665,"WHOLLY GUACAMOLE Avocado Verde, 10 oz",Air,5.49,121.74,153
502056800,"Marketside Homestyle Guacamole, 15oz",Truck,1.28,145.08,154
502056800,"Marketside Homestyle Guacamole, 15oz",Train,2.49,68.15,155
502056800,"Marketside Homestyle Guacamole, 15oz",Air,7.79,29.82,156
33284332,"WHOLLY Avocado Chunky Mini Single Serve Cups, 100% Hass Avocado, 2 Oz (6-Pack)",Truck,1.54,171.8,157
33284332,"WHOLLY Avocado Chunky Mini Single Serve Cups, 100% Hass Avocado, 2 Oz (6-Pack)",Train,1.93,123.45,158
33284332,"WHOLLY Avocado Chunky Mini Single Serve Cups, 100% Hass Avocado, 2 Oz (6-Pack)",Air,4.44,30.61,159
572154678,"Freshness Guaranteed Guacamole, Spicy, 8 oz",Truck,2.2,96.85,160
572154678,"Freshness Guaranteed Guacamole, Spicy, 8 oz",Train,2.31,184.78,161
572154678,"Freshness Guaranteed Guacamole, Spicy, 8 oz",Air,7.92,50.63,162
141678101,Litehouse Home Style Ranch Dip 12fo,Truck,2.77,120.65,163
141678101,Litehouse Home Style Ranch Dip 12fo,Train,1.04,146.48,164
141678101,Litehouse Home Style Ranch Dip 12fo,Air,5.44,75.41,165
352623724,"Sabra Snackers Guacamole & Rolled Tortilla Chips 2.8 oz, (Deli Snacking)",Truck,1.05,189.23,166
352623724,"Sabra Snackers Guacamole & Rolled Tortilla Chips 2.8 oz, (Deli Snacking)",Train,2.1,77.66,167
352623724,"Sabra Snackers Guacamole & Rolled Tortilla Chips 2.8 oz, (Deli Snacking)",Air,8.95,50.9,168
257878596,"HERDEZ Cilantro Lime Salsa Cremosa, 15.3 oz",Truck,1.36,83.35,169
257878596,"HERDEZ Cilantro Lime Salsa Cremosa, 15.3 oz",Train,1.35,198.25,170
257878596,"HERDEZ Cilantro Lime Salsa Cremosa, 15.3 oz",Air,9.5,161.65,171
971866125,Wholly Guacamole Avocado Diced 2/4oz,Truck,2.11,69.66,172
971866125,Wholly Guacamole Avocado Diced 2/4oz,Train,2.23,149.09,173
971866125,Wholly Guacamole Avocado Diced 2/4oz,Air,7.44,52.48,174
169348561,Sabra Singles Classic Guacamole 2 oz (4 count),Truck,2.56,169.58,175
169348561,Sabra Singles Classic Guacamole 2 oz (4 count),Train,0.83,131.63,176
169348561,Sabra Singles Classic Guacamole 2 oz (4 count),Air,7.33,24.49,177
242663613,"HERDEZ Traditional Guacamole, Mild, 8 Oz",Truck,1.09,177.52,178
242663613,"HERDEZ Traditional Guacamole, Mild, 8 Oz",Train,1.57,187.46,179
242663613,"HERDEZ Traditional Guacamole, Mild, 8 Oz",Air,8.9,146.52,180
127393678,"Old El Paso Taco Sauce - Creamy Salsa Verde, 9 oz.",Truck,2.92,76.29,181
127393678,"Old El Paso Taco Sauce - Creamy Salsa Verde, 9 oz.",Train,1.86,104.38,182
127393678,"Old El Paso Taco Sauce - Creamy Salsa Verde, 9 oz.",Air,9.97,54.08,183
773795732,"Twisted Ranch Garlic Smashed Buffalo Sauce & Dressing, 13 fl oz Bottle",Truck,2.04,165.96,184
773795732,"Twisted Ranch Garlic Smashed Buffalo Sauce & Dressing, 13 fl oz Bottle",Train,1.24,40.25,185
773795732,"Twisted Ranch Garlic Smashed Buffalo Sauce & Dressing, 13 fl oz Bottle",Air,9.6,114.94,186
189173733,Bobby Salazar's Salsa Verde 15 oz.,Truck,2.01,76.83,187
189173733,Bobby Salazar's Salsa Verde 15 oz.,Train,1.69,83.83,188
189173733,Bobby Salazar's Salsa Verde 15 oz.,Air,6.13,36.43,189
22211145,"WHOLLY Guacamole Spicy Mini Single Serve Cups, Hot, 2 Oz (6-Pack)",Truck,1.29,49.7,190
22211145,"WHOLLY Guacamole Spicy Mini Single Serve Cups, Hot, 2 Oz (6-Pack)",Train,1.73,22.31,191
22211145,"WHOLLY Guacamole Spicy Mini Single Serve Cups, Hot, 2 Oz (6-Pack)",Air,4.91,192.71,192
856325681,"HERDEZ Traditional Guacamole, Spicy, 8 Oz",Truck,2.22,73.68,193
856325681,"HERDEZ Traditional Guacamole, Spicy, 8 Oz",Train,1.55,169.24,194
856325681,"HERDEZ Traditional Guacamole, Spicy, 8 Oz",Air,8.6,126.3,195
816033200,"Twisted Ranch Black Peppered Parmesan Sauce & Dressing, 13 fl oz Bottle",Truck,2.68,127.14,196
816033200,"Twisted Ranch Black Peppered Parmesan Sauce & Dressing, 13 fl oz Bottle",Train,1.52,156.93,197
816033200,"Twisted Ranch Black Peppered Parmesan Sauce & Dressing, 13 fl oz Bottle",Air,4.41,142.38,198
350350455,"Texas Pete Zesty Chicken Enchilada Dip, 12 oz.",Truck,2.68,39.43,199
350350455,"Texas Pete Zesty Chicken Enchilada Dip, 12 oz.",Train,0.85,160.83,200
350350455,"Texas Pete Zesty Chicken Enchilada Dip, 12 oz.",Air,6.85,58.24,201
45048082,"Giovanni Rana Homestyle Sauce Pesto Premium Pasta Topping Jar (Share Size, 12.5oz)",Truck,1.7,30.28,202
45048082,"Giovanni Rana Homestyle Sauce Pesto Premium Pasta Topping Jar (Share Size, 12.5oz)",Train,1.62,156.69,203
45048082,"Giovanni Rana Homestyle Sauce Pesto Premium Pasta Topping Jar (Share Size, 12.5oz)",Air,4.0,197.47,204
10323697,"Beano's All American Sandwich Spread Bottle, 8 oz",Truck,2.3,105.69,205
10323697,"Beano's All American Sandwich Spread Bottle, 8 oz",Train,1.77,93.58,206
10323697,"Beano's All American Sandwich Spread Bottle, 8 oz",Air,6.92,80.85,207
10533408,"Woeber's Sandwich Pal Horseradish Sauce, 16 oz Bottle",Truck,2.73,104.63,208
10533408,"Woeber's Sandwich Pal Horseradish Sauce, 16 oz Bottle",Train,2.43,196.42,209
10533408,"Woeber's Sandwich Pal Horseradish Sauce, 16 oz Bottle",Air,6.29,99.64,210
10308638,"Marzetti Chocolate Fruit Dip, 15 oz",Truck,1.8,175.73,211
10308638,"Marzetti Chocolate Fruit Dip, 15 oz",Train,0.98,163.34,212
10308638,"Marzetti Chocolate Fruit Dip, 15 oz",Air,6.83,169.22,213
39598399,"Rana Marinara Sauce Family Size, 15oz",Truck,2.58,94.18,214
39598399,"Rana Marinara Sauce Family Size, 15oz",Train,2.46,181.82,215
39598399,"Rana Marinara Sauce Family Size, 15oz",Air,8.37,76.54,216
746452117,"Pace Avocado Salsa, Medium Salsa, 15 Ounce Jar",Truck,1.32,36.95,217
746452117,"Pace Avocado Salsa, Medium Salsa, 15 Ounce Jar",Train,2.24,179.85,218
746452117,"Pace Avocado Salsa, Medium Salsa, 15 Ounce Jar",Air,7.22,30.3,219
669943948,"Pace Avocado Salsa, Mild Salsa, 15 Ounce Jar",Truck,2.92,137.46,220
669943948,"Pace Avocado Salsa, Mild Salsa, 15 Ounce Jar",Train,2.15,71.74,221
669943948,"Pace Avocado Salsa, Mild Salsa, 15 Ounce Jar",Air,7.86,128.22,222
512090935,"HERDEZ Roasted Poblano Salsa Cremosa, 15.3 oz",Truck,1.1,21.19,223
512090935,"HERDEZ Roasted Poblano Salsa Cremosa, 15.3 oz",Train,1.59,104.31,224
512090935,"HERDEZ Roasted Poblano Salsa Cremosa, 15.3 oz",Air,5.81,131.6,225
839695243,"HERDEZ Chipotle Salsa Cremosa, 15.3 oz",Truck,1.35,132.85,226
839695243,"HERDEZ Chipotle Salsa Cremosa, 15.3 oz",Train,1.05,138.46,227
839695243,"HERDEZ Chipotle Salsa Cremosa, 15.3 oz",Air,5.11,180.27,228
455519128,"Lay's French Onion Dip, 23 oz Jar",Truck,2.31,138.37,229
455519128,"Lay's French Onion Dip, 23 oz Jar",Train,1.44,110.28,230
455519128,"Lay's French Onion Dip, 23 oz Jar",Air,6.33,156.44,231
856827053,"Yucatan Authentic Guacamole Squeeze, 14 oz Pouch",Truck,2.34,111.26,232
856827053,"Yucatan Authentic Guacamole Squeeze, 14 oz Pouch",Train,1.24,103.66,233
856827053,"Yucatan Authentic Guacamole Squeeze, 14 oz Pouch",Air,7.31,22.35,234
10535268,"Beaver Brand Hot Cream Horseradish, 12 oz",Truck,1.33,107.1,235
10535268,"Beaver Brand Hot Cream Horseradish, 12 oz",Train,1.4,168.91,236
10535268,"Beaver Brand Hot Cream Horseradish, 12 oz",Air,7.65,29.71,237
778724908,"Marketside Smokehouse Burnt Ends Dip, 12 oz",Truck,1.04,126.45,238
778724908,"Marketside Smokehouse Burnt Ends Dip, 12 oz",Train,2.31,21.15,239
778724908,"Marketside Smokehouse Burnt Ends Dip, 12 oz",Air,6.63,54.08,240
19500170,"Dolci Frutta, Hard Chocolate Shell, 8 Oz",Truck,1.29,95.05,241
19500170,"Dolci Frutta, Hard Chocolate Shell, 8 Oz",Train,2.45,174.64,242
19500170,"Dolci Frutta, Hard Chocolate Shell, 8 Oz",Air,8.01,199.36,243
604265424,"Diablo Verde Salsa, Medium Creamy Cilantro Sauce, 12.5 oz. Jar",Truck,2.04,123.58,244
604265424,"Diablo Verde Salsa, Medium Creamy Cilantro Sauce, 12.5 oz. Jar",Train,2.43,158.94,245
604265424,"Diablo Verde Salsa, Medium Creamy Cilantro Sauce, 12.5 oz. Jar",Air,9.04,95.16,246
109285772,GoVerden Spicy Guacamole 12oz,Truck,1.67,141.48,247
109285772,GoVerden Spicy Guacamole 12oz,Train,1.55,51.98,248
109285772,GoVerden Spicy Guacamole 12oz,Air,6.7,112.09,249
289212253,GoVerden Classic Guacamole 12oz,Truck,1.76,98.02,250
289212253,GoVerden Classic Guacamole 12oz,Train,2.47,141.89,251
289212253,GoVerden Classic Guacamole 12oz,Air,5.22,154.12,252
10316267,"Red Bull Energy Drink, 8.4 Fl Oz (12 pack)",Truck,1.66,57.63,253
10316267,"Red Bull Energy Drink, 8.4 Fl Oz (12 pack)",Train,1.31,53.83,254
10316267,"Red Bull Energy Drink, 8.4 Fl Oz (12 pack)",Air,9.51,47.88,255
10316265,"Red Bull Energy Drink, 8.4 Fl Oz (4 pack)",Truck,2.71,145.43,256
10316265,"Red Bull Energy Drink, 8.4 Fl Oz (4 pack)",Train,1.03,21.8,257
10316265,"Red Bull Energy Drink, 8.4 Fl Oz (4 pack)",Air,5.43,31.11,258
581272641,"Monster Energy Green, Original, 16 fl oz, 12 Pack",Truck,1.13,34.55,259
581272641,"Monster Energy Green, Original, 16 fl oz, 12 Pack",Train,1.64,197.27,260
581272641,"Monster Energy Green, Original, 16 fl oz, 12 Pack",Air,9.56,81.01,261
23598242,"V8 +ENERGY Orange Pineapple Energy Drink, 8 FL OZ Can (Pack of 6)",Truck,1.55,135.15,262
23598242,"V8 +ENERGY Orange Pineapple Energy Drink, 8 FL OZ Can (Pack of 6)",Train,1.22,146.26,263
23598242,"V8 +ENERGY Orange Pineapple Energy Drink, 8 FL OZ Can (Pack of 6)",Air,4.02,116.86,264
133257890,"V8 +ENERGY Pomegranate Blueberry Energy Drink, 8 FL OZ Can (Pack of 12)",Truck,2.52,74.68,265
133257890,"V8 +ENERGY Pomegranate Blueberry Energy Drink, 8 FL OZ Can (Pack of 12)",Train,0.84,139.14,266
133257890,"V8 +ENERGY Pomegranate Blueberry Energy Drink, 8 FL OZ Can (Pack of 12)",Air,5.05,158.63,267
118445796,"NOS High Performance Energy Drink, Original, 16 fl oz, 8 Pack",Truck,2.95,111.46,268
118445796,"NOS High Performance Energy Drink, Original, 16 fl oz, 8 Pack",Train,1.55,142.46,269
118445796,"NOS High Performance Energy Drink, Original, 16 fl oz, 8 Pack",Air,4.95,39.03,270
10316266,"Red Bull Energy Drink, 12 Fl Oz (4 pack)",Truck,1.17,68.27,271
10316266,"Red Bull Energy Drink, 12 Fl Oz (4 pack)",Train,2.38,30.09,272
10316266,"Red Bull Energy Drink, 12 Fl Oz (4 pack)",Air,7.81,42.82,273
394935847,"Monster Energy Zero Ultra, Sugar Free Energy Drink, 16 fl oz, 12 Pack",Truck,2.63,182.09,274
394935847,"Monster Energy Zero Ultra, Sugar Free Energy Drink, 16 fl oz, 12 Pack",Train,0.97,153.88,275
394935847,"Monster Energy Zero Ultra, Sugar Free Energy Drink, 16 fl oz, 12 Pack",Air,9.82,92.11,276
493786197,"Red Bull Energy Drink, Watermelon, 12 Fl Oz (4 pack)",Truck,1.24,163.91,277
493786197,"Red Bull Energy Drink, Watermelon, 12 Fl Oz (4 pack)",Train,1.5,138.58,278
493786197,"Red Bull Energy Drink, Watermelon, 12 Fl Oz (4 pack)",Air,5.09,159.53,279
10534634,"Monster Energy Green, Original, Energy Drink, 16 fl oz, 4 Pack",Truck,1.26,62.58,280
10534634,"Monster Energy Green, Original, Energy Drink, 16 fl oz, 4 Pack",Train,1.84,119.99,281
10534634,"Monster Energy Green, Original, Energy Drink, 16 fl oz, 4 Pack",Air,5.41,100.96,282
12018563,"Java Monster Mean Bean, Coffee + Energy Drink, 15 Fl Oz",Truck,2.47,35.35,283
12018563,"Java Monster Mean Bean, Coffee + Energy Drink, 15 Fl Oz",Train,1.92,85.81,284
12018563,"Java Monster Mean Bean, Coffee + Energy Drink, 15 Fl Oz",Air,6.57,85.01,285
129668810,"V8 +ENERGY Peach Mango Energy Drink, 8 FL OZ Can (Pack of 12)",Truck,2.4,181.98,286
129668810,"V8 +ENERGY Peach Mango Energy Drink, 8 FL OZ Can (Pack of 12)",Train,2.49,78.32,287
129668810,"V8 +ENERGY Peach Mango Energy Drink, 8 FL OZ Can (Pack of 12)",Air,4.68,84.91,288
615734763,Alani Energy Drink-breezeberry-12oz,Truck,2.58,158.7,289
615734763,Alani Energy Drink-breezeberry-12oz,Train,2.08,137.89,290
615734763,Alani Energy Drink-breezeberry-12oz,Air,6.07,147.28,291
381952965,"Bucked Up Energy Drink, 300mg Caffeine, Rocket Pop, 16 fl oz",Truck,1.21,190.6,292
381952965,"Bucked Up Energy Drink, 300mg Caffeine, Rocket Pop, 16 fl oz",Train,1.99,70.26,293
381952965,"Bucked Up Energy Drink, 300mg Caffeine, Rocket Pop, 16 fl oz",Air,8.13,84.17,294
